,examples,intents
1119,Детский мат,chess
1120,Французская защита,chess
1121,Каталонское начало,chess
1122,Королевский гамбит,chess
1123,Сицилианская защита,chess
1124,Венская партия,chess
1125,Новоиндийская защита,chess
1126,Английское начало,chess
1127,защита Нимцовича,chess
1128,Староиндийская защита,chess
1129,Староиндийская атака,chess
1130,Защита Бенони,chess
1131,защита Пирца-Уфимцева,chess
1132,защита Рюи Лопеса,chess
1133,Ферзевый гамбит,chess
1134,защита Алехина,chess
1135,защита Грюнфельда,chess
1136,Испанская партия,chess
1137,"Подскажи, как переводится: «I want you»?",byflood
1138,Ты любишь деньги?,byflood
1139,Чего тебе в жизни не хватает?,byflood
1140,Ты из какой сказки?,byflood
1141,На учебу ходила?,byflood
1142,"Тебе нравится получать подарки, или приятней дарить их?",byflood
1143,Разве можем мы друг без друга?,byflood
1144,Хочу выпить,byflood
1145,Что делаешь,byflood
1146,Как тебя зовут,byflood
1147,Какой у тебя был самый яркий момент в жизни?,byflood
1148,У тебя какой любимый цветок?,byflood
1149,Ты уверенный в себе человек?,byflood
1150,Ты бы сняла свой секс за деньги?,byflood
1151,Что тебя больше всего рассмешило за прошедшую неделю/ месяц?,byflood
1152,Занимаешься спортом? Каким? Как часто?,byflood
1153,Тебя никто не обижает?,byflood
1154,Любишь мечтать? О чем мечтаешь?,byflood
1155,Поболтаем,byflood
1156,Ты веришь в любовь с первого взгляда?,byflood
1157,Ты обещаешь не врать друг другу никогда?,byflood
1158,Мне скучно,byflood
1159,Скажи что-нибудь,byflood
1160,"Сегодня гадал на ромашке (любит, не любит). И отгадай что выпало?",byflood
1161,Ты где и с кем новый год встречать будешь?,byflood
1162,Давай познакомимся,byflood
1163,Что выберешь: деньги или любовь?,byflood
1164,Ты слышала что ради тебя я бросил бывшую?,byflood
1165,Сколько тебе лет,byflood
1166,"Ты вроде есть в книге рекордов Гиннеса, как самая красивая девушка. Это правда?",byflood
1167,А я сексуальный?,byflood
1168,Научить тебя делать шашлыки?,byflood
1169,Ты на каком курсе учишься?,byflood
1170,А ты когда-нибудь ходила по городу всю ночь?,byflood
1171,Жалеешь о чем-нибудь в своей жизни?,byflood
1172,Слышала меня сегодня по радио Романтика? Я говорил о тебе.,byflood
1173,"Сериалы, которые ты любишь смотреть?",byflood
1174,У тебя есть эротическое белье?,byflood
1175,"Почему все хотят, чтобы я хотел того, чего хотят они, и никто не хочет хотеть того, чего хочу я?",byflood
1176,Хочешь поскакать на лошадке?,byflood
1177,Хочешь выучить какой-нибудь иностранный язык?,byflood
1178,Дорогая в каком стиле будем наш дом?,byflood
1179,Ты хоть раз выигрывала в карты на раздевание?,byflood
1180,Как оценишь по шкале от 1 до 10 свою неадекватность?,byflood
1181,"Хочешь научиться танцевать танго (фламенко, ча ча ча)?",byflood
1182,"Какой звук тебе нравится? Звук горящего камина в доме, или может звук природы в лесу?",byflood
1183,У тебя было когда-нибудь желание уйти в монастырь?,byflood
1184,Ты когда-нибудь мучилась от любви?,byflood
1185,Веришь в настоящую любовь? Почему?,byflood
1186,Отгадай чем ты меня заинтересовала?,byflood
1187,Ты владеешь языком по-французски?,byflood
1188,Нравится танцевать? Почему? Какие танцы нравятся?,byflood
1189,Как относишься к нудисткому пляжу?,byflood
1190,Во время секса… о чем ты думаешь?,byflood
1191,"Если кто-то будет писать о тебе книгу, то какое название у нее будет?",byflood
1192,Оружие в руках хоть раз держала?,byflood
1193,Как думаешь романтично будет заняться любовью на берегу моря?,byflood
1194,Хотела бы ты прославиться?,byflood
1195,"Если бы тебе подарили бесплатный билет на самолёт, куда бы ты полетела?",byflood
1196,Сколько языков ты знаешь? Какие хотела бы еще выучить? Почему?,byflood
1197,Как ты назовешь своих детей?,byflood
1198,Кока-кола или Пепси?,byflood
1199,"У тебя винда не косячит? А то я бы мог тебе ее переустановить, за бесплатно.",byflood
1200,Какое твое любимое время года?,byflood
1201,Ты наверное ходишь в солярий?,byflood
1202,Какое обычно у тебя утром настроение?,byflood
1203,Как ты называешь свои интимные места?,byflood
1204,А ты мальчик или девочка,byflood
1205,Что ты подаришь мне на 23 февраля?,byflood
1206,Ты любишь загарать? Топлес?,byflood
1207,Наверное тоже ждешь принца на белом коне?,byflood
1208,"Ты творческий человек? Почему так считаешь? Если да, то, что играет в роли твоей музы?",byflood
1209,Ты смотришь телевизор?,byflood
1210,Хочешь я скажу на всех языках мира какая ты красивая?,byflood
1211,Ты вегетарианка?,byflood
1212,Умеешь рисовать?,byflood
1213,Твое любимое женское и мужское имя?,byflood
1214,"Где так загорела, как шоколадка?",byflood
1215,Какой фильм ты можешь смотреть снова и снова?,byflood
1216,Матом часто ругаешься?,byflood
1217,И каково же чувствовать себя самой прекрасной девушкой в городе?,byflood
1218,Ты хочешь остаться такой молодой и красивой навсегда?,byflood
1219,О чём ты мечтаешь ночью?,byflood
1220,Где находится нофелет?,byflood
1221,Как ты относишься к измене?,byflood
1222,Какую песню ты бы выбрала для описания своей жизни?,byflood
1223,Фитнесом занимаешься?,byflood
1224,Стакан наполовину пуст или наполовину полон?,byflood
1225,Любишь маленьких детей?,byflood
1226,Ты простишь меня если я тебе случайно изменю?,byflood
1227,Давай сделаем это сейчас! Готова?,byflood
1228,Как лето проводишь (будешь проводить)?,byflood
1229,Насколько ты считаешь себя собранной? В квартире твоей беспорядок?,byflood
1230,Не тебя ли я видел на обложке Playboy?,byflood
1231,Я собираюсь снимать фильм про любовь. Хочешь сняться?,byflood
1232,Какое твое любимое блюдо?,byflood
1233,Что ты выбираешь: Спонтанность или стабильность?,byflood
1234,Есть сестра или брат?,byflood
1235,"Если бы тебе осталось жить один час, чтобы ты сделала?",byflood
1236,Ты когда-нибудь прыгала с парашютом?,byflood
1237,"Если я позову на помощь, придешь?",byflood
1238,"Почему заниматься сексом можно с 16 лет, а курить с 18?",byflood
1239,"Если бы я был съедобный, что бы ты съела у меня?",byflood
1240,Веришь в знаки зодиака? Какой твой?,byflood
1241,Транзистор,electronics
1242,разъем,electronics
1243,Микросхема,electronics
1244,Конденсатор,electronics
1245,катушка индуктивности,electronics
1246,шаговый искатель,electronics
1247,Диод,electronics
1248,лампы,electronics
1249,рэле,electronics
1250,Резистор,electronics
1251,Что ты умеешь,skills
1252,Где ты научился болтать по-человечески,skills
1253,можешь подсказать,skills
1254,что ты умеешь,skills
1255,Что ты можешь,skills
1256,Какими навыками ты обладаешь,skills
1257,Как ты работаешь,skills
1258,чем можешь помочь,skills
1259,какие варианты,skills
1260,Как ты понимаешь человеческую речь,skills
1261,Отвратительно,reactions_to_bad_feelings
1262,Плохо,reactions_to_bad_feelings
1263,Восхитительно,reactions_to_good_feelings
1264,Хорошо,reactions_to_good_feelings
1265,Какого ты пола?,gender
1266,Пол,gender
1267,Ты он или она?,gender
1268,ты парень или девушка,gender
1269,Какого ты пола,gender
1270,Бот - это мужчина или женщина?,gender
1271,Ты мальчик или девочка,gender
1272,какого ты пола,gender
1273,Ты мальчик или девочка?,gender
1274,что делаешь?,what_are_you_doing
1275,что делаешь,what_are_you_doing
1276,чем занимаешься,what_are_you_doing
1277,что ты делаешь сейчас?,what_are_you_doing
1278,чем занят,what_are_you_doing
1279,Здрасте,hellozdr
1280,Здрасьте,hellozdr
1281,Как добавить nltk,howtonlkt
1282,Как установить nltk,howtonlkt
1283,Как добавить модуль nltk,howtonlkt
1284,порекомендуй книги по питону,pythonbooks
1285,книги по питону,pythonbooks
1286,книги по python,pythonbooks
1287,порекомендуй книги по python,pythonbooks
1288,Как сам,howareyou
1289,Как чувствуешь себя,howareyou
1290,че как,howareyou
1291,как дела,howareyou
1292,Как делишки,howareyou
1293,Как дела?,howareyou
1294,Что по здоровью,howareyou
1295,Че как?,howareyou
1296,Что делаешь?,howareyou
1297,как ты?,howareyou
1298,Всё хорошо,howareyou
1299,Как делишки у иммунитета,howareyou
1300,как твои дела?,howareyou
1301,Как дела,howareyou
1302,Как ты,howareyou
1303,Как поживаешь,howareyou
1304,какой редактор использовать,pythoneditor
1305,в каком редакторе писать код,pythoneditor
1306,где писать код,pythoneditor
1307,в какой программе писать код,pythoneditor
1308,что такое анаконда,whatispython
1309,что такое python,whatispython
1310,что такое anaconda,whatispython
1311,что такое питон,whatispython
1312,что за анаконда,whatispython
1313,вы слышите меня,banderlogi
1314,"вы слышите меня, бандерлоги",banderlogi
1315,что такое intent,whatisintent
1316,что такое расстояние левенштейна,whatislev
1317,расстояние левенштейна,whatislev
1318,левенштейн,whоislev
1319,кто такой левенштейн,whоislev
1320,Хочу катнуть,game
1321,Давай с играем,game
1322,Во что поиграть,game
1323,Поиграем,game
1324,Во что покатать,game
1325,Играть,game
1326,Новые игры есть?,game
1327,игры 2020,game
1328,Понеслась,game
1329,Хочу кушать,food
1330,Где поесть,food
1331,Какую еду заказать,food
1332,Что бы поесть,food
1333,Я голоден,food
1334,Подработка,work
1335,Хочу другую работу,work
1336,Работ для студентов,work
1337,Найти работу,work
1338,Мне так одиноко,feel_bad
1339,Нет настроения,feel_bad
1340,Я устал,feel_bad
1341,Мне грустно,feel_bad
1342,Уныло чет,feel_bad
1343,Что расскажешь,some_question
1344,Расскажи что-нибудь,some_question
1345,Скучнаааа,some_question
1346,Расскажи что нибудь,some_question
1347,Мне скучно,some_question
1348,Задумай цифру,digit_guess
1349,Загадай число,digit_guess
1350,число от 0 до 9,digit_guess
1351,хочу сказку,fables
1352,расскажи что-нибудь,fables
1353,Расскажи сказку,fables
1354,Утюг не греет,not_working
1355,лампа не светит,not_working
1356,чайник не кипятит,not_working
1357,телевизор не показывает,not_working
1358,как согреться,cold
1359,мне холодно,cold
1360,что-то холодает,cold
1361,я замерз,cold
1362,?,Iminterestin
1363,Подскажи,Iminterestin
1364,Порекоммендуй,Iminterestin
1365,Памоги,Iminterestin
1366,Хочу спросить,Iminterestin
1367,Можешь помочь,Iminterestin
1368,Расскажи,Iminterestin
1369,Поскажи,Iminterestin
1370,Раскажи,Iminterestin
1371,Памаги,Iminterestin
1372,ПорекомендуйПосоветуй,Iminterestin
1373,По советуй,Iminterestin
1374,Пасаветуй,Iminterestin
1375,Скажи,Iminterestin
1376,Помоги,Iminterestin
1377,Что ты умеешь,Whatcan
1378,ты можешь,Whatcan
1379,какие твои способности,Whatcan
1380,для чего ты,Whatcan
1381,Что еще ты умеешь,Whatcan
1382,ты умеешь,Whatcan
1383,о себе,Whatcan
1384,Какие твои умения,Whatcan
1385,что ты можешь,Whatcan
1386,не хочу говорить с ботом,callhuman
1387,Позовите оператора,callhuman
1388,Позовите человека,callhuman
1389,Пошути,joke
1390,Расскажи анекдот,joke
1391,Скажи анекдот,joke
1392,Анекдот,joke
1393,расскажи анекдот,joke
1394,Шутка,joke
1395,Хочу смеяться,joke
1396,Расскажи шутку,joke
1397,рассмеши меня,joke
1398,как поживаешь,howru
1399,Как дела,howru
1400,Как ты,howru
1401,Как твое самочувствие,howru
1402,Что с долларом,currency
1403,Сколько рублей стоит доллар,currency
1404,Какой курс доллара,currency
1405,Я устал,motivation
1406,Мне грустно,motivation
1407,"Я не знаю, как со всем справиться",motivation
1408,Все надоело,motivation
1409,Ты лучший бот,emotion
1410,Очень приятно,emotion
1411,Я очень рад,emotion
1412,Спасибо,emotion
1413,Сладких снов,sleep
1414,Спокойной ночи,sleep
1415,Сладких,sleep
1416,Я спать,sleep
1417,Доброй ночи,sleep
1418,Люблю,i_love_you
1419,Мое сердце занято тобой,i_love_you
1420,Люблю тебя,i_love_you
1421,"Ты лучше, чем балтика девятка",i_love_you
1422,Доброго утречка,morning
1423,Утречко,morning
1424,Доброе утро,morning
1425,Доброе утрое,morning
1426,Страшно,danger
1427,Мне страшно,danger
1428,Боюсь,danger
1429,Успокой меня,danger
1430,Чем себя занять,what_to_do
1431,Чем бы заняться,what_to_do
1432,Чего бы поделать,what_to_do
1433,Что делать,what_to_do
1434,Что поделать,what_to_do
1435,Чем заняться,what_to_do
1436,Скучно,what_to_do
1437,Зачем тебя создали?,destination
1438,Кто ты?,destination
1439,Что ты,destination
1440,Что ты умеешь?,destination
1441,а ты ничего!,compliment
1442,Вау! наконец я все понял,compliment
1443,Комплимент,compliment
1444,Похвали меня,compliment
1445,Скажи что-то приятное,compliment
1446,Польсти мне,compliment
1447,ты крут,compliment
1448,Вебинар огонь!,compliment
1449,Настроение,bot_mood
1450,Чувства,bot_mood
1451,Как себя чувствуешь?,bot_mood
1452,Как твое настроение?,bot_mood
1453,Как ты?,bot_mood
1454,что ты,about_you
1455,расскажи о себе,about_you
1456,Как тебя зовут,about_you
1457,кто ты,about_you
1458,что ты можешь,about_you
1459,погода,the_weather
1460,какая погода,the_weather
1461,Ты грустный,mood1
1462,Ты радостный,mood1
1463,Ты веселый,mood1
1464,Ты веселая,mood1
1465,Ты женщина,what gender are you
1466,Ты парень,what gender are you
1467,Какого ты пола,what gender are you
1468,Ты девушка,what gender are you
1469,Ты мужчина,what gender are you
1470,Как тебя зовут?,what is your name
1471,Твое имя,what is your name
1472,У тебя есть имя?,what is your name
1473,На чём ты создан?,choice
1474,Как тебя сделали?,choice
1475,Как тебя создали?,choice
1476,На чём ты создана,choice
1477,Иди на хуй,bye_obscene
1478,Как же ты заебал,bye_obscene
1479,Иди в пизду,bye_obscene
1480,Да пошел ты,bye_obscene
1481,Съебись,bye_obscene
1482,Пошел в пизду,bye_obscene
1483,Иди на хер,bye_obscene
1484,Отъебись,bye_obscene
1485,Заебали,bye_obscene
1486,Пошел в жопу,bye_obscene
1487,Пошел нахуй,bye_obscene
1488,Пошел на хер,bye_obscene
1489,Сука,obscene
1490,Нахуй,obscene
1491,На хуй,obscene
1492,Хуясе,obscene
1493,Хуета,obscene
1494,Ебать,obscene
1495,Бля,obscene
1496,Долбоеб,obscene
1497,Хуй,obscene
1498,Пизда,obscene
1499,У меня не получается,call_to_support
1500,Ой все,call_to_support
1501,Не отправляется,call_to_support
1502,У меня сломалось,call_to_support
1503,Не загружается,call_to_support
1504,Не формируется,call_to_support
1505,Не запускается,call_to_support
1506,Не отображается,call_to_support
1507,Как к вам приехать,locations
1508,Куда приходить,locations
1509,ваш фактический адрес,locations
1510,Где вы находитесь,locations
1511,Где Ваш офис,locations
1512,Куда приехать,locations
1513,Как до вас добраться,locations
1514,Нет,no
1515,Неа,no
1516,Ни за что,no
1517,не не не,no
1518,Никогда,no
1519,"Думаю, что да",yes
1520,Ага,yes
1521,Естесственно,yes
1522,Абсолютно верно,yes
1523,"Скорее да, чем нет",yes
1524,Угу,yes
1525,Да,yes
1526,Конечно,yes
1527,Возможно,yes
1528,мне нечем заняться,Boring
1529,мне нечего делать,Boring
1530,Что мне делать,Boring
1531,что поделать,Boring
1532,чем бы мне занятся,Boring
1533,Мне скучно,Boring
1534,Всё бессмысленно,Pointless
1535,Чувствую себе подавленно,Pointless
1536,Моя жизнь не имеет смысла,Pointless
1537,Ненавижу жизнь,Pointless
1538,У меня депрессия,Pointless
1539,Пошути,Joke
1540,Расскажи анекдот,Joke
1541,Где ключи от танка?,Joke
1542,Порадуй меня,Joke
1543,Анекдот,Joke
1544,Мы,Joke
1545,Шутка,Joke
1546,Развлеки меня,Joke
1547,Расскажи смешнявку,Joke
1548,Развесели меня,Joke
1549,Расскажи шутку,Joke
1550,"Проснись, потолок падает",Joke
1551,Прикол,Joke
1552,В чем разница между уткой?,Joke
1553,истина о вархаммере,Warhammer
1554,вархаммер,Warhammer
1555,рассвет войны,Warhammer
1556,тау,Warhammer
1557,Баланс,Warhammer
1558,Кто имба,Warhammer
1559,расскажи про дов,Warhammer
1560,Скайрим,Skyrim
1561,хаммерфелл,Skyrim
1562,неотмеченные места,Skyrim
1563,тес,Skyrim
1564,поясни за тес6,Skyrim
1565,древние свитки,Skyrim
1566,отсылки,Skyrim
1567,расскажи про свитки,Skyrim
1568,секреты,Skyrim
1569,Что ты делаешь?,whatareyoudoing
1570,Что делаешь,whatareyoudoing
1571,Чем занят,whatareyoudoing
1572,Чем занимаешься,whatareyoudoing
1573,Чем ты занимаешься?,whatareyoudoing
1574,Чем любишь заниматься,whatareyouloving
1575,Чем увлекаешься,whatareyouloving
1576,Что тебе нравится,whatareyouloving
1577,Что любишь,whatareyouloving
1578,Что ты можешь,skils
1579,Какие у тебя навыки,skils
1580,Что ты умеешь,skils
1581,На что ты способен,skils
1582,Что будешь делать,plans
1583,Какие планы на вечер,plans
1584,Что планиурешь на выходные,plans
1585,Что у вас есть по ИИ?,plans
1586,А какие еще направления есть?,plans
1587,Вы вроде проводите вебинары по ИИ?,plans
1588,Что интересного предложите?,plans
1589,Что будешь делать в пятницу,plans
1590,Где ты находишься,living
1591,Где ты живешь,living
1592,Где ты сейчас,living
1593,помогите?,help
1594,Хелп ми,help
1595,мне нужна помощь,help
1596,Нужна помощь,help
1597,Сколько времени,help
1598,Помоги мне,help
1599,help me?,help
1600,Где я,help
1601,прошу помощи?,help
1602,Можешь помочь мне?,help
1603,Мне нужна помощь специалиста,help
1604,Мне нужна твоя помощь,help
1605,Помоги,help
1606,Укажите путь,help
1607,Какой час,time
1608,Сколько щас,time
1609,Сколько времени,time
1610,Который час,time
1611,Сколько время,time
1612,Мне жаль,sorry
1613,Прости,sorry
1614,Сорян,sorry
1615,Извини,sorry
1616,Я сожалею,sorry
1617,Ага,OK
1618,Подтверждаю,OK
1619,ОК,OK
1620,Согласен,OK
1621,Да,OK
1622,Делай,OK
1623,никогда,NOT_OK
1624,Нет,NOT_OK
1625,Не согласен,NOT_OK
1626,отказано,NOT_OK
1627,ни за что,NOT_OK
1628,исправь,change
1629,измени,change
1630,добавь,change
1631,удали,change
1632,сохрани,save
1633,оставь,save
1634,запиши,save
1635,хочу оставить отзыв,feedback
1636,обратная связь,feedback
1637,как с Вами связаться,feedback
1638,кто ваш босс?,boss
1639,кто ваш начальник?,boss
1640,кому вы подчиняетесь?,boss
1641,в каком регионе работаете?,region
1642,ваша территория?,region
1643,где вы?,region
1644,ваши партнеры?,partner
1645,с кем работаете?,partner
1646,Грац,gratitude
1647,Признателен,gratitude
1648,Спасибочки,gratitude
1649,Мерси,gratitude
1650,Благодарю,gratitude
1651,Спасибо,gratitude
1652,Благодарствую,gratitude
1653,Сенкью,gratitude
1654,Ясно,weather1
1655,Знойно,weather1
1656,Жара,weather1
1657,Жарит,weather1
1658,Жарко,weather1
1659,Безоблачно,weather1
1660,Солнечно,weather1
1661,Холодно,weather2
1662,Пасмурно,weather2
1663,Ненастно,weather2
1664,Зябко,weather2
1665,Дождливо,weather2
1666,Замерзаю,weather2
1667,Мокро,weather2
1668,Ветренно,weather2
1669,how are you?,how
1670,Как здоровье,how
1671,how was your day?,how
1672,Как жизнь,how
1673,How are things?,how
1674,What`s up?,how
1675,How`s everything?,how
1676,You all right?,how
1677,Как дела,how
1678,Как поживаешь,how
1679,Ты не человек?,areyouabot
1680,Ты бот?,areyouabot
1681,Что ты любишь делать?,whatdoyouliketodo
1682,что любишь делать в свободное время,whatdoyouliketodo
1683,Чем ты любишь заниматься?,whatdoyouliketodo
1684,у тебя есть хобби?,whatdoyouliketodo
1685,чем занимаешься в свободное время,whatdoyouliketodo
1686,Кто ты?,whoareyou
1687,Расскажи о себе,whoareyou
1688,Вы что за компания?,whoareyou
1689,Кто ты,whoareyou
1690,Как к тебе обращаться,whoareyou
1691,Для чего ты мне,whoareyou
1692,Как вы называетесь?,whoareyou
1693,Ты кто?,whoareyou
1694,Ты кто,whoareyou
1695,А кто Вы?,whoareyou
1696,С кем я разговариваю,whoareyou
1697,А чем вы занимаетесь?,whoareyou
1698,У вас есть сайт?,whoareyou
1699,сколько стоит хлеб,bread_price
1700,цена хлеба,bread_price
1701,почём хлеб,bread_price
1702,хлеб дорогой,bread_price
1703,сколько варить яйца,boiled_eggs
1704,как сварить яйца,boiled_eggs
1705,варить яйцо,boiled_eggs
1706,как приготовить яйцо,boiled_eggs
1707,я голоден,today_dinner
1708,чем поужинать,today_dinner
1709,хочу есть,today_dinner
1710,что на ужин,today_dinner
1711,что приготовить,today_dinner
1712,хочу кофе,make_coffee
1713,сделать кофе,make_coffee
1714,кофе,make_coffee
1715,как сварить кофе,make_coffee
1716,у тебя есть друзья,best_friend
1717,кто твой друг,best_friend
1718,лучший друг,best_friend
1719,у тебя много друзей,best_friend
1720,Здоровье в порядке?,health
1721,Как сам?,health
1722,Как здоровье?,health
1723,Не болеешь?,health
1724,Мы будем счастливы?,happy
1725,Мне весело!,happy
1726,Счастье есть?,happy
1727,радуюсь,happy
1728,Ты счастлив?,happy
1729,Ты никогда не ошибаешься?,errors
1730,Ты ошибаешься?,errors
1731,Бывают ошибки?,errors
1732,Ты далеко?,where
1733,Где ты?,where
1734,Ты здесь?,where
1735,Что ты можешь,what
1736,Что ты хочешь сказать?,what
1737,Что-то не так?,what
1738,Что  это ты?,what
1739,Кто ты,about
1740,Как к тебе обращаться,about
1741,У тебя есть имя,about
1742,Что ты можешь,about
1743,Функции,about
1744,Навыки,about
1745,Что умеет этот бот,about
1746,Как тебя зовут,about
1747,Твои навыки,about
1748,Дима,name
1749,Виктория,name
1750,Кристина,name
1751,Валентина,name
1752,Саша,name
1753,Виталий,name
1754,Валерия,name
1755,Татьяна,name
1756,Как к тебе обращаться,name
1757,Олеся,name
1758,Как тебя зовут,name
1759,Борис,name
1760,Андрей,name
1761,Светлана,name
1762,Анна,name
1763,Кирилл,name
1764,Валентин,name
1765,Алена,name
1766,Мария,name
1767,Маргарита,name
1768,Раиса,name
1769,Руслан,name
1770,Артур,name
1771,Дарья,name
1772,Георгий,name
1773,Антон,name
1774,Евгений,name
1775,Женя,name
1776,Маша,name
1777,Никита,name
1778,Вячеслав,name
1779,Нина,name
1780,Денис,name
1781,Анастасия,name
1782,Геннадий,name
1783,Егор,name
1784,Анатолий,name
1785,Илья,name
1786,Максим,name
1787,Юля,name
1788,Ирина,name
1789,Яна,name
1790,Евгения,name
1791,Рита,name
1792,Полина,name
1793,Алла,name
1794,Какое у тебя имя,name
1795,Виктор,name
1796,Валерий,name
1797,Софья,name
1798,Екатерина,name
1799,Елена,name
1800,Наталья,name
1801,Вова,name
1802,Инна,name
1803,Вера,name
1804,Эдуард,name
1805,Антонина,name
1806,Лариса,name
1807,Юрий,name
1808,Любовь,name
1809,Галина,name
1810,Ольга,name
1811,Владислав,name
1812,Тимофей,name
1813,Владимир,name
1814,Алексей,name
1815,Петр,name
1816,Надежда,name
1817,Вадим,name
1818,Тим,name
1819,Зинаида,name
1820,Константин,name
1821,Марина,name
1822,Леонид,name
1823,Николай,name
1824,Федор,name
1825,Василий,name
1826,Диана,name
1827,Клавдия,name
1828,Ксения,name
1829,Вероника,name
1830,Дмитрий,name
1831,Юлия,name
1832,Ваня,name
1833,Григорий,name
1834,Станислав,name
1835,Наталия,name
1836,Тамара,name
1837,Артём,name
1838,Сергей,name
1839,Пётр,name
1840,Лилия,name
1841,Арина,name
1842,Игорь,name
1843,Ярослав,name
1844,Лидия,name
1845,Людмила,name
1846,Иван,name
1847,Артем,name
1848,Михаил,name
1849,Александра,name
1850,Лена,name
1851,Елизавета,name
1852,Как вас зовут,name
1853,Оксана,name
1854,Леша,name
1855,Павел,name
1856,Степан,name
1857,Зовут как,name
1858,Алёна,name
1859,Алина,name
1860,Роман,name
1861,Костя,name
1862,Даниил,name
1863,Олег,name
1864,Александр,name
1865,Евдокия,name
1866,Кто ты,name
1867,Зоя,name
1868,Твоё имя,name
1869,Паша,name
1870,Вика,name
1871,Что ты умеешь,experience
1872,Какие вопросы я могу тебе задать,experience
1873,Что ты знаешь,experience
1874,Для чего ты нужен,experience
1875,Давай,main_question
1876,В чем смысл жизни?,main_question
1877,"Какой ответ на главный вопрос жизни, вселенной и всего такого?",main_question
1878,И какой же ответ?,main_question
1879,Откуда ты?,who_are_you
1880,Как тебя зовут?,who_are_you
1881,Ты кто такой?,who_are_you
1882,Чем занимаешься?,who_are_you
1883,Че по чем?,shoping
1884,Сколько стоит эта вещь?,shoping
1885,По чем опиум для народа?,shoping
1886,"А у Вас есть такая же, только с перламутровыми пуговицами?",shoping
1887,Сколько стоит билет до Марса?,voyage
1888,Вы сильно храпите?,voyage
1889,Где находится платформа 9 и 3/4?,voyage
1890,Где находится нафилет?,voyage
1891,Как проехать на вокзал?,voyage
1892,Откуда взялся ковид,question
1893,Какие вопросы ты не любишь,question
1894,Что именно ты не любишь обсуждать,question
1895,Кто виноват?,question
1896,Кто стоит за ковид?,question
1897,У тебя есть запретные темы,question
1898,Кто придумал covid-19,question
1899,Что мы не будет обсуждать,question
1900,Что ты умеешь,possibility
1901,Можешь подскзать,possibility
1902,Чем ты мне можешь помочь,possibility
1903,Какая от тебя польза,possibility
1904,Какие у тебя возможности,possibility
1905,Чем ты можешь быть полезен,possibility
1906,Для чего ты нужен,possibility
1907,Задумчивое лицо,thoughtfulFace
1908,Задумайся,thoughtfulFace
1909,Сделай задумчивое лицо,thoughtfulFace
1910,Сейчас есть пробки,traffic
1911,Уровень загреженности дорог,traffic
1912,Как обстановка на дорогах,traffic
1913,Много ли машин на дороге,traffic
1914,Пробки,traffic
1915,Как Ваши дела?,HRU?v1
1916,Как Ваше настроение?,HRU?v1
1917,Как сами?,HRU?v1
1918,Как Вы поживаете?,HRU?v1
1919,Как твои дела?,HRU?v2
1920,Как дела?,HRU?v2
1921,Как самочувствие?,HIYH?
1922,Не хвораете?,HIYH?
1923,Как здоровье?,HIYH?
1924,Хуже не бывает!,DEPRESSIVEv1
1925,Все плохо!,DEPRESSIVEv1
1926,Ужас что творится!,DEPRESSIVEv1
1927,Не плохо!,POSITIVEv1
1928,Класс!,POSITIVEv1
1929,Хорошо,POSITIVEv1
1930,Отлично!,POSITIVEv1
1931,Норм!,POSITIVEv1
1932,Ништяк!,POSITIVEv1
1933,Какой язык лучше?,PYTHON
1934,Какой лучший язык программирования?,PYTHON
1935,Хочу сделать заказ,order
1936,Я хотел бы сделать заказ,order
1937,Можно сделать заказ?,order
1938,Могу ли я сделать заказ?,order
1939,Я хочу заказать,order
1940,Сколько еще ждать?,waiting time
1941,Скоро?,waiting time
1942,Еще долго ждать?,waiting time
1943,Какое время ожидания?,waiting time
1944,Что приготовить на обед?,cook
1945,Простой рецепт,cook
1946,Что приготовить?,cook
1947,Что приготовить на ужин?,cook
1948,Че делаешь,action
1949,Что делаешь,action
1950,Чем занимаешься,action
1951,Чем занят,action
1952,Где ты находишься,location
1953,Где ты живешь,location
1954,Ты где,location
1955,Что ты умеешь,mission
1956,Зачем ты нужен,mission
1957,Что ты можешь,mission
1958,Скажи триста,300
1959,Скажи что-нибудь,tell
1960,Поболтай со мной,tell
1961,Расскажи что-то,tell
1962,Команада,command
1963,Сделай,command
1964,Твое имя,question_name
1965,Кто ты,question_name
1966,Ты?,question_name
1967,Как тебя зовут,question_name
1968,Как дела,question_how_are_you
1969,Как поживаешь,question_how_are_you
1970,как ты,question_how_are_you
1971,Как настроение,question_how_are_you
1972,Что можешь делать,question_can
1973,Что умеешь,question_can
1974,Бот,appeal
1975,Ты,appeal
1976,Эй,appeal
1977,Как дела,business
1978,Как работа бота,business
1979,Каково быть ботом,business
1980,Расскажи о себе,about you
1981,Что ты такое,about you
1982,Чего ты хочешь,desires
1983,У тебя есть мечта,desires
1984,Боты имеют мечты,desires
1985,по рюмочке,drink_to
1986,накатим,drink_to
1987,давай выпьем,drink_to
1988,ещё по одной,drink_to
1989,"ну, хлопнем",drink_to
1990,как самочувствие,feeling
1991,как настроение,feeling
1992,как дела,feeling
1993,как здоровье,feeling
1994,отстань,who
1995,Кто ты,who
1996,а ты откуда взялся,who
1997,ты кто,who
1998,что надо,who
1999,вперед,todo
2000,давай,todo
2001,помоги,todo
2002,хорошо,todo
2003,кто это?,identity
2004,Что ты такое,identity
2005,с кем я говорю?,identity
